Symbol
BTCUSD
ETHUSD
BNBUSD
SOLUSD
TONUSD
TRXUSD
ADAUSD
AVAXUSD
BCHUSD
NEARUSD
KASUSD
XMRUSD
APTUSD
SUIUSD
CROUSD
FILUSD
HBARUSD
INJUSD
ATOMUSD
FTMUSD
ARUSD
ALGOUSD
SEIUSD
OMUSD
FLOWUSD
COREUSD
KLAYUSD
FLRUSD
EGLDUSD
GALAUSD
XTZUSD
XECUSD
RONUSD
CHZUSD
AIOZUSD
ASTRUSD
ROSEUSD
GNOUSD
WEMIXUSD
KAVAUSD
ELFUSD
ENJUSD
XRDUSD
ZETAUSD
QUBICUSD
DCRUSD
CHRUSD
SAGAUSD
KDAUSD
ALPHUSD
CSPRUSD
GLMRUSD
ONEUSD
XCHUSD
AZEROUSD
VANRYUSD
OZOUSD
WAXPUSD
DUSKUSD
ORAIUSD
MOVRUSD
SYSUSD
HIVEUSD
OASUSD
OMNIUSD
ZANOUSD
TETUSD
LYXUSD
CUDOSUSD
QANXUSD
ERGUSD
OCTAUSD
LTOUSD
KUJIUSD
MELDUSD
HEARTUSD
TRIASUSD
VICUSD
BLDUSD
$SMHUSD
CCDUSD
WANUSD
DNXUSD
SYNTUSD
BELUSD
STOSUSD
TARAUSD
AMBUSD
GLQUSD
FIOUSD
RXDUSD
DMDUSD
JKLUSD
HTRUSD
ARCHUSD
KOINUSD
DVPNUSD
NEXAUSD
SAITOUSD
VARAUSD
FILUSD
RENDERUSD
GRTUSD
THETAUSD
ARUSD
HNTUSD
JASMYUSD
BTTUSD
AKTUSD
AIOZUSD
IOTAUSD
LPTUSD
BDXUSD
IOTXUSD
HOTUSD
GLMUSD
ANKRUSD
SCUSD
ATHUSD
TRACUSD
FLUXUSD
OCEANUSD
IOUSD
HONEYUSD
NOSUSD
XCHUSD
WMTUSD
MOBILEUSD
RLCUSD
MVLUSD
PHAUSD
DENTUSD
SHDWUSD
NYMUSD
GPUUSD
POKTUSD
ANYONEUSD
PHBUSD
XYOUSD
CUDOSUSD
STORJUSD
RADUSD
BLZUSD
NKNUSD
OCTAUSD
HASHAIUSD
GHXUSD
OXTUSD
DMTRUSD
DIMOUSD
IOTUSD
DNXUSD
IAGUSD
ALEPHUSD
DATAUSD
GEODUSD
SRXUSD
HOPRUSD
STOSUSD
CLOREUSD
WXMUSD
NTXUSD
OORTUSD
CEREUSD
NATIXUSD
JKLUSD
MXCUSD
BZZUSD
DVPNUSD
WIFIUSD
XNETUSD
CRUUSD
FLTUSD
SCPUSD
MANUSD
OVRUSD
NODLUSD
TRVLUSD
EMCUSD
XRTUSD
SQTUSD
RWNUSD
CQTUSD
EDGEUSD
VDAUSD
RAINUSD
FOAMUSD
OPSECUSD
LAMBUSD
OBOTUSD
ZCNUSD
NTMPIUSD
WSIUSD
WNTUSD
SERSHUSD
CLSUSD
INFRAUSD
PUMLXUSD
DECUSD
AURIUSD
BTCUSD
DOGEUSD
BCHUSD
LTCUSD
KASUSD
XMRUSD
ETCUSD
BSVUSD
CKBUSD
XECUSD
CFXUSD
ZECUSD
BTGUSD
BDXUSD
DASHUSD
SCUSD
RVNUSD
FLUXUSD
QUBICUSD
DCRUSD
MWCUSD
ETHWUSD
KDAUSD
ALPHUSD
ZENUSD
DGBUSD
SYSUSD
ZANOUSD
XVGUSD
ERGUSD
FBUSD
ARRRUSD
KMDUSD
DNXUSD
GRSUSD
BELUSD
IRONUSD
RXDUSD
DMDUSD
HTRUSD
DEROUSD
XCPUSD
FIROUSD
QRLUSD
NIMUSD
NEXAUSD
BCDUSD
PPCUSD
SCPUSD
GLEECUSD
EPICUSD
MANUSD
GLCUSD
HNSUSD
BEAMUSD
BLOCXUSD
GRINUSD
NEOXUSD
VTCUSD
BCNUSD
WOWUSD
EFLUSD
LCCUSD
CPHUSD
SAFEUSD
FTCUSD
