Symbol
BTCUSD
ETHUSD
BNBUSD
SOLUSD
TONUSD
TRXUSD
ADAUSD
AVAXUSD
BCHUSD
NEARUSD
KASUSD
XMRUSD
APTUSD
SUIUSD
CROUSD
FILUSD
HBARUSD
INJUSD
ATOMUSD
FTMUSD
ARUSD
ALGOUSD
SEIUSD
OMUSD
FLOWUSD
COREUSD
KLAYUSD
EGLDUSD
FLRUSD
GALAUSD
XTZUSD
XECUSD
RONUSD
CHZUSD
AIOZUSD
ASTRUSD
GNOUSD
ROSEUSD
WEMIXUSD
KAVAUSD
ELFUSD
ENJUSD
XRDUSD
DCRUSD
ZETAUSD
QUBICUSD
CHRUSD
KDAUSD
GLMRUSD
ALPHUSD
ONEUSD
XCHUSD
CSPRUSD
VANRYUSD
SAGAUSD
AZEROUSD
OZOUSD
WAXPUSD
DUSKUSD
ORAIUSD
MOVRUSD
SYSUSD
HIVEUSD
ZANOUSD
OASUSD
OMNIUSD
TETUSD
LYXUSD
CUDOSUSD
ERGUSD
QANXUSD
OCTAUSD
LTOUSD
MELDUSD
KUJIUSD
HEARTUSD
TRIASUSD
VICUSD
WANUSD
BLDUSD
$SMHUSD
DNXUSD
CCDUSD
BELUSD
SYNTUSD
STOSUSD
AMBUSD
FIOUSD
GLQUSD
RXDUSD
DMDUSD
HTRUSD
JKLUSD
ARCHUSD
TARAUSD
DVPNUSD
XEPUSD
KOINUSD
NEXAUSD
SAITOUSD
FILUSD
RENDERUSD
GRTUSD
HNTUSD
ARUSD
THETAUSD
JASMYUSD
BTTUSD
AKTUSD
IOTAUSD
AIOZUSD
LPTUSD
BDXUSD
IOTXUSD
HOTUSD
GLMUSD
ANKRUSD
SCUSD
ATHUSD
TRACUSD
FLUXUSD
OCEANUSD
IOUSD
HONEYUSD
NOSUSD
XCHUSD
WMTUSD
MOBILEUSD
RLCUSD
MVLUSD
PHAUSD
DENTUSD
GPUUSD
POKTUSD
SHDWUSD
ANYONEUSD
PHBUSD
NYMUSD
XYOUSD
CUDOSUSD
OORTUSD
BLZUSD
NKNUSD
RADUSD
STORJUSD
OCTAUSD
GHXUSD
OXTUSD
IOTUSD
DIMOUSD
DMTRUSD
HASHAIUSD
ALEPHUSD
DNXUSD
IAGUSD
DATAUSD
STOSUSD
SRXUSD
HOPRUSD
GEODUSD
CLOREUSD
WXMUSD
NTXUSD
CEREUSD
JKLUSD
NATIXUSD
MXCUSD
BZZUSD
DVPNUSD
WIFIUSD
XNETUSD
FLTUSD
CRUUSD
SCPUSD
MANUSD
NODLUSD
OVRUSD
TRVLUSD
XRTUSD
EMCUSD
SQTUSD
RWNUSD
CQTUSD
EDGEUSD
RAINUSD
LAMBUSD
VDAUSD
FOAMUSD
OBOTUSD
ZCNUSD
NTMPIUSD
OPSECUSD
WSIUSD
WNTUSD
SERSHUSD
CLSUSD
INFRAUSD
PUMLXUSD
DECUSD
AURIUSD
BTCUSD
DOGEUSD
BCHUSD
LTCUSD
KASUSD
XMRUSD
ETCUSD
BSVUSD
CFXUSD
XECUSD
ZECUSD
CKBUSD
BTGUSD
BDXUSD
DASHUSD
SCUSD
RVNUSD
FLUXUSD
DCRUSD
QUBICUSD
ETHWUSD
MWCUSD
KDAUSD
ALPHUSD
ZENUSD
DGBUSD
SYSUSD
ZANOUSD
XVGUSD
ERGUSD
FBUSD
KMDUSD
ARRRUSD
DNXUSD
BELUSD
GRSUSD
IRONUSD
RXDUSD
DMDUSD
HTRUSD
DEROUSD
NIMUSD
XCPUSD
FIROUSD
NEXAUSD
QRLUSD
BCDUSD
PPCUSD
GLEECUSD
EPICUSD
SCPUSD
MANUSD
HNSUSD
GLCUSD
BEAMUSD
BLOCXUSD
GRINUSD
NEOXUSD
VTCUSD
BCNUSD
WOWUSD
EFLUSD
FTCUSD
LCCUSD
CPHUSD
SAFEUSD
